DATE,TV,Radio,Newspaper,Sales
03-01-2006,230.1,37.8,69.2,22.1
04-01-2006,44.5,39.3,45.1,10.4
05-01-2006,17.2,45.9,69.3,12
06-01-2006,151.5,41.3,58.5,16.5
07-01-2006,180.8,10.8,58.4,17.9
08-01-2006,8.7,48.9,75,7.2
09-01-2006,57.5,32.8,23.5,11.8
10-01-2006,120.2,19.6,11.6,13.2
11-01-2006,8.6,2.1,1,4.8
12-01-2006,199.8,2.6,21.2,15.6
13-01-2006,66.1,5.8,24.2,12.6
14-01-2006,214.7,24,4,17.4
15-01-2006,23.8,35.1,65.9,9.2
16-01-2006,97.5,7.6,7.2,13.7
17-01-2006,204.1,32.9,46,19
18-01-2006,195.4,47.7,52.9,22.4
19-01-2006,67.8,36.6,114,12.5
20-01-2006,281.4,39.6,55.8,24.4
21-01-2006,69.2,20.5,18.3,11.3
22-01-2006,147.3,23.9,19.1,14.6
23-01-2006,218.4,27.7,53.4,18
24-01-2006,237.4,5.1,23.5,17.5
25-01-2006,13.2,15.9,49.6,5.6
26-01-2006,228.3,16.9,26.2,20.5
27-01-2006,62.3,12.6,18.3,9.7
28-01-2006,262.9,3.5,19.5,17
29-01-2006,142.9,29.3,12.6,15
30-01-2006,240.1,16.7,22.9,20.9
31-01-2006,248.8,27.1,22.9,18.9
01-02-2006,70.6,16,40.8,10.5
02-02-2006,292.9,28.3,43.2,21.4
03-02-2006,112.9,17.4,38.6,11.9
04-02-2006,97.2,1.5,30,13.2
05-02-2006,265.6,20,0.3,17.4
06-02-2006,95.7,1.4,7.4,11.9
07-02-2006,290.7,4.1,8.5,17.8
08-02-2006,266.9,43.8,5,25.4
09-02-2006,74.7,49.4,45.7,14.7
10-02-2006,43.1,26.7,35.1,10.1
11-02-2006,228,37.7,32,21.5
12-02-2006,202.5,22.3,31.6,16.6
13-02-2006,177,33.4,38.7,17.1
14-02-2006,293.6,27.7,1.8,20.7
15-02-2006,206.9,8.4,26.4,17.9
16-02-2006,25.1,25.7,43.3,8.5
17-02-2006,175.1,22.5,31.5,16.1
18-02-2006,89.7,9.9,35.7,10.6
19-02-2006,239.9,41.5,18.5,23.2
20-02-2006,227.2,15.8,49.9,19.8
21-02-2006,66.9,11.7,36.8,9.7
22-02-2006,199.8,3.1,34.6,16.4
23-02-2006,100.4,9.6,3.6,10.7
24-02-2006,216.4,41.7,39.6,22.6
25-02-2006,182.6,46.2,58.7,21.2
26-02-2006,262.7,28.8,15.9,20.2
27-02-2006,198.9,49.4,60,23.7
28-02-2006,7.3,28.1,41.4,5.5
01-03-2006,136.2,19.2,16.6,13.2
02-03-2006,210.8,49.6,37.7,23.8
03-03-2006,210.7,29.5,9.3,18.4
04-03-2006,53.5,2,21.4,8.1
05-03-2006,261.3,42.7,54.7,24.2
06-03-2006,239.3,15.5,27.3,20.7
07-03-2006,102.7,29.6,8.4,14
08-03-2006,131.1,42.8,28.9,16
09-03-2006,69,9.3,0.9,11.3
